Latitude,Longitude,Elevation
45.8225,-1.19445,0.0
45.80694,-1.21195,0.0
45.85889,-1.23972,10.0
45.8736,-1.25083,15.0
45.90555,-1.28222,5.0
45.90778,-1.28583,2.0
45.92361,-1.31667,4.0
45.95027,-1.36556,2.0
45.95805,-1.37361,2.0
45.96527,-1.37611,9.0
46.04666,-1.40306,0.0
46.05055,-1.40167,0.0
46.05111,-1.39611,0.0
46.04944,-1.38472,0.0
46.04472,-1.36361,0.0
46.04305,-1.35917,0.0
45.99583,-1.27333,0.0
45.96472,-1.23306,0.0
45.89861,-1.17306,0.0
45.89166,-1.17083,0.0
45.8875,-1.17056,0.0
45.84777,-1.18195,0.0
45.83167,-1.18694,0.0
45.82805,-1.18889,0.0
45.8225,-1.19445,0.0
46.15639,-1.26083,0.0
46.15555,-1.28417,11.0
46.15666,-1.29945,12.0
46.16083,-1.31861,10.0
46.20416,-1.50694,-1.0
46.20916,-1.52056,3.0
46.21527,-1.53139,7.0
46.21777,-1.53444,6.0
46.2411,-1.55222,0.0
46.245,-1.55306,-3.0
46.24806,-1.55194,0.0
46.25,-1.54833,0.0
46.25555,-1.50306,6.0
46.25666,-1.49222,0.0
46.25666,-1.48028,0.0
46.25583,-1.47445,0.0
46.19805,-1.29167,0.0
46.16833,-1.25556,0.0
46.16499,-1.25417,0.0
46.16083,-1.25417,0.0
46.15778,-1.25667,0.0
46.15639,-1.26083,0.0
46.69333,-2.27083,0.0
46.69277,-2.27639,0.0
46.69805,-2.36389,26.0
46.70139,-2.37,0.0
46.70916,-2.37833,22.0
46.71777,-2.38528,22.0
46.72556,-2.385,8.0
46.72805,-2.38194,10.0
46.73528,-2.36611,0.0
46.73611,-2.36083,0.0
46.73555,-2.35417,0.0
46.73055,-2.33361,0.0
46.71861,-2.30306,0.0
46.70444,-2.27611,0.0
46.70222,-2.27306,0.0
46.69639,-2.26861,0.0
46.69333,-2.27083,0.0
47.01722,-2.19695,0.0
46.95305,-2.14333,0.0
46.94389,-2.13722,0.0
46.93639,-2.13556,0.0
46.91917,-2.13639,0.0
46.90778,-2.14139,0.0
46.90583,-2.145,0.0
46.94917,-2.18278,3.0
46.96111,-2.19945,-1.0
46.96388,-2.20889,4.0
46.96527,-2.22167,3.0
46.96555,-2.23445,7.0
46.96388,-2.24472,0.0
46.96388,-2.25083,2.0
46.96472,-2.25667,3.0
46.96972,-2.26278,6.0
47.02055,-2.28472,5.0
47.0275,-2.27722,8.0
47.03055,-2.25667,0.0
47.03194,-2.24556,0.0
47.03055,-2.23278,0.0
47.02861,-2.22194,0.0
47.02389,-2.20778,0.0
47.01722,-2.19695,0.0
47.30666,-3.06667,40.0
47.28944,-3.08167,43.0
47.28777,-3.08583,45.0
47.29556,-3.10833,62.0
47.29805,-3.11833,58.0
47.30333,-3.16417,17.0
47.3036,-3.16944,15.0
47.30277,-3.18889,47.0
47.30028,-3.20528,45.0
47.30083,-3.21111,45.0
47.3025,-3.21583,37.0
47.30666,-3.22306,31.0
47.31528,-3.2375,28.0
47.3186,-3.23917,25.0
47.36527,-3.26028,26.0
47.36944,-3.26083,0.0
47.37611,-3.25861,0.0
47.39055,-3.25222,0.0
47.39278,-3.24889,0.0
47.39166,-3.24333,0.0
47.32027,-3.06333,0.0
47.31722,-3.06139,0.0
47.31361,-3.06306,38.0
47.30666,-3.06667,40.0
48.45416,-5.055,4.0
48.44222,-5.10139,23.0
48.45472,-5.13472,5.0
48.45833,-5.13472,1.0
48.46083,-5.13111,0.0
48.47472,-5.10556,0.0
48.4825,-5.06945,0.0
48.48306,-5.06472,0.0
48.48027,-5.055,0.0
48.47778,-5.04889,0.0
48.46861,-5.045,0.0
48.45694,-5.05194,8.0
48.45416,-5.055,4.0
48.80389,-3.57667,9.0
48.80389,-3.58222,8.0
48.80722,-3.58278,0.0
48.80972,-3.57972,0.0
48.81249,-3.57556,0.0
48.81278,-3.57083,0.0
48.81166,-3.56528,0.0
48.80861,-3.56333,0.0
48.80583,-3.56611,6.0
48.80389,-3.57667,9.0
51.09111,2.54167,0.0
50.99583,2.5975,3.0
50.92583,2.59778,15.0
50.81611,2.65056,39.0
50.75555,2.78194,52.0
50.71338,2.8675,17.0
50.70305,2.89806,16.0
50.74139,2.94306,16.0
50.7575,2.96056,18.0
50.76917,3.00861,9.0
50.77055,3.02,15.0
50.76984,3.02699,14.0
50.77722,3.04167,18.0
50.78027,3.05083,17.0
50.79166,3.11639,14.0
50.79083,3.14333,15.0
50.78999,3.14972,12.0
50.78833,3.15444,18.0
50.78361,3.16222,17.0
50.75705,3.18287,43.0
50.74667,3.18722,39.0
50.72722,3.19778,35.0
50.66805,3.24222,25.0
50.66027,3.24306,31.0
50.54166,3.27861,43.0
50.53833,3.28,44.0
50.52305,3.29861,30.0
50.49555,3.36722,19.0
50.495,3.37278,17.0
50.50944,3.4525,16.0
50.51138,3.45667,15.0
50.51888,3.51806,34.0
50.49583,3.60778,46.0
50.49004,3.62016,42.0
50.46166,3.65444,17.0
50.45638,3.66056,23.0
50.44416,3.66889,16.0
50.44083,3.67056,18.0
50.39527,3.67694,27.0
50.35388,3.77472,117.0
50.34,3.88972,148.0
50.34528,3.98389,129.0
50.35643,4.03318,106.0
50.35555,4.03833,126.0
50.28305,4.165,182.0
50.2375,4.19444,180.0
50.13722,4.17139,232.0
50.01,4.14722,254.0
49.97837,4.14924,232.0
49.97988,4.17418,250.0
49.97639,4.18306,256.0
49.9596,4.21526,263.0
49.96249,4.23111,275.0
49.96444,4.24806,277.0
49.96972,4.31722,299.0
49.94917,4.41333,315.0
49.94501,4.43001,323.0
49.94055,4.44583,321.0
49.93861,4.45833,350.0
49.93889,4.46417,361.0
49.9475,4.51056,356.0
49.99638,4.67361,174.0
50.00194,4.67972,347.0
50.04194,4.69444,247.0
50.05555,4.6975,199.0
50.06194,4.69389,197.0
50.06722,4.68778,259.0
50.07111,4.68806,239.0
50.08333,4.69306,227.0
50.09083,4.69694,122.0
50.13555,4.76306,209.0
50.16583,4.81472,140.0
50.16722,4.81917,123.0
50.16861,4.8325,176.0
50.15472,4.88278,195.0
50.14027,4.89472,173.0
50.13611,4.89444,180.0
50.1311,4.8875,132.0
50.12917,4.88333,130.0
50.12639,4.88056,229.0
50.09555,4.85333,224.0
50.06916,4.83889,339.0
49.99278,4.82083,301.0
49.80722,4.86389,340.0
49.79722,4.87306,398.0
49.78972,4.90667,389.0
49.78889,4.91278,389.0
49.78944,4.92444,397.0
49.79083,4.93528,420.0
49.79361,4.94472,418.0
49.80222,4.95917,307.0
49.80472,4.98444,384.0
49.8025,4.99667,284.0
49.65666,5.33111,257.0
49.62255,5.39231,272.0
49.62138,5.39861,262.0
49.61333,5.415,255.0
49.60694,5.42722,326.0
49.6,5.43778,326.0
49.54111,5.47417,258.0
49.53777,5.47556,255.0
49.53416,5.47611,224.0
49.53055,5.47389,204.0
49.52166,5.46528,236.0
49.51778,5.46361,259.0
49.50889,5.47028,200.0
49.5061,5.47306,213.0
49.50417,5.4775,247.0
49.50889,5.51444,350.0
49.51111,5.53056,354.0
49.53583,5.63194,265.0
49.54305,5.70222,373.0
49.54583,5.79222,278.0
49.54504,5.80788,264.0
49.53889,5.81,269.0
49.53639,5.81167,303.0
49.51416,5.83861,412.0
49.50111,5.85528,405.0
49.44861,5.97778,416.0
49.44833,5.98139,423.0
49.45305,6.09056,400.0
49.45416,6.09444,423.0
49.46972,6.11806,257.0
49.47166,6.12,277.0
49.48055,6.1225,290.0
49.48722,6.12306,304.0
49.48972,6.12417,313.0
49.50388,6.15611,252.0
49.50472,6.16528,270.0
49.50833,6.22972,249.0
49.50777,6.23972,237.0
49.50597,6.24732,226.0
49.47666,6.30278,173.0
49.45939,6.36217,301.0
49.47556,6.41139,388.0
49.47583,6.41611,390.0
49.46139,6.46833,398.0
49.44277,6.50833,366.0
49.43083,6.53222,324.0
49.42583,6.54056,339.0
49.36305,6.59472,237.0
49.245,6.68694,195.0
49.19138,6.71639,269.0
49.18889,6.71472,274.0
49.18583,6.71417,277.0
49.18305,6.715,272.0
49.17166,6.72361,229.0
49.1675,6.7275,270.0
49.16611,6.73083,267.0
49.16528,6.735,284.0
49.15389,6.82194,242.0
49.15305,6.83139,223.0
49.155,6.83889,226.0
49.15833,6.84417,215.0
49.17249,6.85944,201.0
49.175,6.86111,203.0
49.17777,6.86111,196.0
49.17999,6.85972,196.0
49.18388,6.855,200.0
49.19055,6.84972,236.0
49.20333,6.84111,217.0
49.20611,6.84028,197.0
49.20889,6.84139,193.0
49.21139,6.84306,233.0
49.21527,6.8475,230.0
49.21805,6.85389,228.0
49.22083,6.93056,252.0
49.21972,6.93417,264.0
49.18749,7.01944,226.0
49.1275,7.09056,248.0
49.12111,7.15167,226.0
49.11111,7.28778,317.0
49.11222,7.29167,317.0
49.14222,7.36,271.0
49.14444,7.36167,250.0
49.16055,7.36722,241.0
49.16878,7.36902,287.0
49.17083,7.37194,299.0
49.17194,7.37528,330.0
49.17333,7.38361,340.0
49.17694,7.41361,318.0
49.17722,7.42361,295.0
49.17583,7.4325,271.0
49.16416,7.48694,361.0
49.06916,7.62583,264.0
49.06528,7.63028,344.0
49.04494,7.65209,301.0
49.04222,7.66889,267.0
49.04277,7.7375,387.0
49.04639,7.82139,434.0
49.04888,7.93333,291.0
49.04888,7.93861,221.0
49.01111,8.03972,157.0
49.00527,8.05194,152.0
48.97639,8.15555,125.0
48.96442,8.22608,108.0
48.95889,8.20611,110.0
48.95194,8.19055,111.0
48.89555,8.13917,112.0
48.89083,8.13583,115.0
48.865,8.12167,114.0
48.84638,8.1125,115.0
48.84083,8.11028,115.0
48.82222,8.10639,116.0
48.81667,8.10389,116.0
48.8036,8.09222,119.0
48.72416,7.96194,129.0
48.66416,7.88,135.0
48.57583,7.80222,140.0
48.42495,7.7454,146.0
48.39861,7.73667,150.0
48.38944,7.73667,148.0
48.34541,7.75177,156.0
48.33666,7.75083,153.0
48.33055,7.74611,151.0
48.27638,7.69333,168.0
48.16419,7.60773,165.0
48.11972,7.57889,175.0
48.08917,7.56972,181.0
48.08527,7.56889,178.0
48.06,7.56667,186.0
48.04478,7.56919,190.0
